structure,type,seas_adj,date,value
ks_i63_index_q,index,na,1995-10-01,-21.582178103900638
ks_i63_index_q,index,na,1996-01-01,-28.050645496898802
ks_i63_index_q,index,na,1996-04-01,-32.23184820714059
ks_i63_index_q,index,na,1996-07-01,-36.40814218064141
ks_i63_index_q,index,na,1996-10-01,-29.36076830477654
ks_i63_index_q,index,na,1997-01-01,-25.165726086880667
ks_i63_index_q,index,na,1997-04-01,-21.526801669983488
ks_i63_index_q,index,na,1997-07-01,-14.205822397418743
ks_i63_index_q,index,na,1997-10-01,-13.99737602232809
ks_i63_index_q,index,na,1998-01-01,-11.689302119850646
ks_i63_index_q,index,na,1998-04-01,-6.660011907812701
ks_i63_index_q,index,na,1998-07-01,-2.406452535715328
ks_i63_index_q,index,na,1998-10-01,-6.064114757482096
ks_i63_index_q,index,na,1999-01-01,-6.7693756802648455
ks_i63_index_q,index,na,1999-04-01,-7.949950735095076
ks_i63_index_q,index,na,1999-07-01,-5.390349283791718
ks_i63_index_q,index,na,1999-10-01,-1.9352685699696295
ks_i63_index_q,index,na,2000-01-01,6.550738907357729
ks_i63_index_q,index,na,2000-04-01,3.4121264142724157
ks_i63_index_q,index,na,2000-07-01,2.6150182884171267
ks_i63_index_q,index,na,2000-10-01,-3.0404926530986165
ks_i63_index_q,index,na,2001-01-01,1.4966033750935432
ks_i63_index_q,index,na,2001-04-01,-2.48518333550071
ks_i63_index_q,index,na,2001-07-01,-7.0599119829138015
ks_i63_index_q,index,na,2001-10-01,-29.419530368477346
ks_i63_index_q,index,na,2002-01-01,-9.32811769931441
ks_i63_index_q,index,na,2002-04-01,-10.338882226024143
ks_i63_index_q,index,na,2002-07-01,-19.223699586022594
ks_i63_index_q,index,na,2002-10-01,-29.08734057155796
ks_i63_index_q,index,na,2003-01-01,-18.77846325673074
ks_i63_index_q,index,na,2003-04-01,-24.977234846502267
ks_i63_index_q,index,na,2003-07-01,-22.26554020288337
ks_i63_index_q,index,na,2003-10-01,-20.475329810266874
ks_i63_index_q,index,na,2004-01-01,-11.480781646157055
ks_i63_index_q,index,na,2004-04-01,-10.135545092705469
ks_i63_index_q,index,na,2004-07-01,-16.799372540849593
ks_i63_index_q,index,na,2004-10-01,-18.956631543968168
ks_i63_index_q,index,na,2005-01-01,-12.682162525430968
ks_i63_index_q,index,na,2005-04-01,-15.097218320877543
ks_i63_index_q,index,na,2005-07-01,-19.214490983420312
ks_i63_index_q,index,na,2005-10-01,-19.9347480276281
ks_i63_index_q,index,na,2006-01-01,-4.341697648268312
ks_i63_index_q,index,na,2006-04-01,-6.0465596934164365
ks_i63_index_q,index,na,2006-07-01,-5.904477315463665
ks_i63_index_q,index,na,2006-10-01,-7.456361780456706
ks_i63_index_q,index,na,2007-01-01,-2.379827883548787
ks_i63_index_q,index,na,2007-04-01,-1.9441937432698273
ks_i63_index_q,index,na,2007-07-01,-7.55852170578984
ks_i63_index_q,index,na,2007-10-01,-7.867981423526885
ks_i63_index_q,index,na,2008-01-01,-10.095806864383825
ks_i63_index_q,index,na,2008-04-01,-14.134359764170112
ks_i63_index_q,index,na,2008-07-01,-32.825976443331385
ks_i63_index_q,index,na,2008-10-01,-36.3047740469308
ks_i63_index_q,index,na,2009-01-01,-24.907925706203496
ks_i63_index_q,index,na,2009-04-01,-29.603002169325325
ks_i63_index_q,index,na,2009-07-01,-23.64266660309574
ks_i63_index_q,index,na,2009-10-01,-8.631397277954838
ks_i63_index_q,index,na,2010-01-01,-2.564398523263987
ks_i63_index_q,index,na,2010-04-01,0.15199633463039963
ks_i63_index_q,index,na,2010-07-01,-0.7329693511021589
ks_i63_index_q,index,na,2010-10-01,-6.072408450277302
ks_i63_index_q,index,na,2011-01-01,-3.7327826972856313
ks_i63_index_q,index,na,2011-04-01,-5.232746954384879
ks_i63_index_q,index,na,2011-07-01,-18.42792879424533
ks_i63_index_q,index,na,2011-10-01,-18.733053096619717
ks_i63_index_q,index,na,2012-01-01,-14.415441390383874
ks_i63_index_q,index,na,2012-04-01,-11.665248604721235
ks_i63_index_q,index,na,2012-07-01,-18.154828715368843
ks_i63_index_q,index,na,2012-10-01,-17.743748586614945
ks_i63_index_q,index,na,2013-01-01,-6.098763017450944
ks_i63_index_q,index,na,2013-04-01,-8.91146617431149
ks_i63_index_q,index,na,2013-07-01,-12.591280146477423
ks_i63_index_q,index,na,2013-10-01,-11.615642488682788
ks_i63_index_q,index,na,2014-01-01,-3.634808506464669
ks_i63_index_q,index,na,2014-04-01,-7.893878032353156
ks_i63_index_q,index,na,2014-07-01,-8.016733769162714
ks_i63_index_q,index,na,2014-10-01,-14.473613145656717
ks_i63_index_q,index,na,2015-01-01,-11.028448437589677
ks_i63_index_q,index,na,2015-04-01,-6.877912101077398
ks_i63_index_q,index,na,2015-07-01,-17.6134402011375
ks_i63_index_q,index,na,2015-10-01,-17.669169623452333
ks_i63_index_q,index,na,2016-01-01,-13.283307434434876
ks_i63_index_q,index,na,2016-04-01,-14.221727433592218
ks_i63_index_q,index,na,2016-07-01,-17.796840323411672
ks_i63_index_q,index,na,2016-10-01,-15.89876707453653
ks_i63_index_q,index,na,2017-01-01,-7.23669720252877
ks_i63_index_q,index,na,2017-04-01,-13.14049456705912
ks_i63_index_q,index,na,2017-07-01,-9.941140327475576
ks_i63_index_q,index,na,2017-10-01,-13.124924920876175
ks_i63_index_q,index,na,2018-01-01,-7.712909557170636
ks_i63_index_q,index,na,2018-04-01,-12.998818042102481
ks_i63_index_q,index,na,2018-07-01,-15.477694575191563
ks_i63_index_q,index,na,2018-10-01,-15.246398727703266
ks_i63_index_q,index,na,2019-01-01,-15.671031566341078
ks_i63_index_q,index,na,2019-04-01,-17.024397441666416
ks_i63_index_q,index,na,2019-07-01,-18.616595692755123
ks_i63_index_q,index,na,2019-10-01,-22.27655425945813
ks_i63_index_q,index,na,2020-01-01,-15.512252998391903
